Entidad,COLIFORMES FECALES,TURBIEDAD,FLUORUROS,NITRATOS,SÓLIDOS DISUELTOS,ALUMINIO,ARSÉNICO,HIERRO,PLOMO
AGUASCALIENTES,98.89,98.89,1.11,100.0,100.0,100.0,1.11,2.22,100.0
BAJA CALIFORNIA,18.69,18.69,90.65,99.07,80.37,100.0,97.2,96.26,94.39
BAJA CALIFORNIA SUR,52.08,52.08,91.67,70.83,56.25,100.0,54.17,95.83,100.0
CAMPECHE,0.43,0.43,46.35,41.63,40.77,100.0,51.5,91.42,41.2
CHIHUAHUA,73.91,73.91,30.43,66.3,54.35,100.0,26.09,98.91,66.3
CIUDAD DE MÉXICO,52.23,52.23,46.5,98.73,98.09,100.0,46.5,99.36,98.73
COAHUILA DE ZARAGOZA,86.36,97.27,13.64,48.18,27.73,100.0,18.18,53.64,100.0
COLIMA,53.21,53.21,46.15,100.0,71.15,100.0,75.0,82.05,100.0
DURANGO,92.68,92.68,15.85,68.29,73.78,100.0,4.27,8.54,67.07
GUANAJUATO,84.1,84.1,16.92,84.62,91.28,100.0,16.92,97.44,92.82
GUERRERO,35.45,30.6,80.22,91.79,92.54,100.0,78.36,89.93,97.76
HIDALGO,74.39,74.39,29.82,76.14,47.37,100.0,26.32,76.84,51.58
JALISCO,65.81,65.81,34.19,84.19,88.6,100.0,34.19,87.5,84.19
MÉXICO,78.77,78.77,21.23,98.86,95.73,100.0,26.5,100.0,100.0
MICHOACÁN DE OCAMPO,14.04,12.72,87.72,99.56,97.37,100.0,88.6,97.37,99.12
MORELOS,33.86,33.86,67.72,78.84,85.19,100.0,67.2,98.41,84.13
NAYARIT,52.26,51.03,63.79,86.42,91.77,100.0,52.26,81.89,97.94
NUEVO LEÓN,71.7,72.25,28.02,67.03,64.84,100.0,80.22,86.54,100.0
OAXACA,32.52,31.07,70.87,87.38,87.38,100.0,69.9,94.17,92.23
PUEBLA,53.39,53.39,53.39,71.98,71.98,100.0,47.79,74.34,79.35
QUERÉTARO,54.38,54.38,45.62,94.47,100.0,100.0,45.62,99.08,100.0
QUINTANA ROO,82.76,82.76,60.34,60.34,17.24,100.0,100.0,100.0,100.0
SAN LUIS POTOSÍ,63.56,59.11,42.22,73.78,67.11,100.0,39.11,82.22,71.11
SINALOA,59.48,25.95,51.02,90.67,90.96,100.0,41.98,60.06,99.71
SONORA,57.14,57.14,42.86,60.71,60.71,100.0,42.86,100.0,60.71
TABASCO,24.66,22.6,100.0,100.0,98.63,100.0,89.73,76.03,100.0
TAMAULIPAS,90.0,90.0,10.59,42.35,37.65,100.0,38.82,37.65,100.0
TLAXCALA,47.52,47.52,76.6,91.49,100.0,100.0,52.48,99.29,100.0
VERACRUZ DE IGNACIO DE LA LLAVE,52.28,52.28,47.99,100.0,97.32,100.0,54.69,100.0,100.0
YUCATÁN,50.55,50.55,77.45,68.0,50.55,100.0,99.64,98.55,64.73
ZACATECAS,95.1,95.1,4.9,77.45,100.0,100.0,4.9,71.57,100.0
